Model Name,MSE Mean,MSE Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,MAPE Mean,MAPE Std,R2 Mean,R2 Std,Avg Epochs,Stop Reason plateau,Stop Reason overfitting
MLP_ReLU_64_32,92.08920288085938,36.57575607299805,9.39041519165039,1.977197527885437,7.450526237487793,1.8210991621017456,0.27881686203638256,0.07125363116841009,0.6669812560081482,0.12911590778385043,143.0,5.0,
MLP_LeakyReLU_64_32,125.69456481933594,9.747304916381836,11.203264236450195,0.4259628653526306,9.085641860961914,0.2748999297618866,0.342825548458516,0.010813370862489596,0.5461438536643982,0.03105903886039373,65.4,5.0,
MLP_GELU_64_32,47.256080627441406,7.4602789878845215,6.853344917297363,0.5364150404930115,5.216072082519531,0.3475489914417267,0.17054471116425982,0.014036163849147987,0.8303696155548096,0.018046516232537224,170.2,5.0,
MLP_Tanh_64_32,74.41715240478516,34.50714874267578,8.391331672668457,2.000678777694702,5.903242111206055,1.2450690269470215,0.17080434273395637,0.028468867700284402,0.7424329161643982,0.09477187663568376,225.4,5.0,
MLP_ReLU_128_64_32,30.982379913330078,5.60676383972168,5.543450355529785,0.5025289058685303,4.108496189117432,0.46017077565193176,0.13875354114471236,0.014365293876341686,0.8867844104766845,0.02708123842445794,331.0,,5.0
MLP_LeakyReLU_128_64_32,33.648834228515625,4.757161617279053,5.785135746002197,0.42548805475234985,4.279866695404053,0.3042657673358917,0.1409020675351498,0.008426743590358755,0.8790020704269409,0.013638200109889545,209.4,2.0,3.0
MLP_GELU_128_64_32,33.8417854309082,5.378822326660156,5.799333572387695,0.45771849155426025,4.305009365081787,0.3574160039424896,0.13735174785439228,0.005711960634489586,0.8782522320747376,0.015498804644937778,206.0,3.0,2.0
MLP_Tanh_128_64_32,35.32611846923828,7.966780662536621,5.904567718505859,0.6798498630523682,4.143397808074951,0.3209177255630493,0.13263531548239857,0.010466170260420519,0.8740449905395508,0.021364721440562978,429.2,3.0,2.0
MLP_ReLU_256_128_64_32,30.635400772094727,3.2542061805725098,5.526917934417725,0.29760870337486267,4.051677227020264,0.24321207404136658,0.135967510091263,0.009291550269709804,0.8892760157585144,0.01252519868257022,232.4,,5.0
MLP_LeakyReLU_256_128_64_32,27.85333824157715,3.616842269897461,5.266029357910156,0.34966567158699036,3.8411591053009033,0.20989865064620972,0.12848690672887098,0.002527631355377063,0.8996646523475647,0.011249686465430434,228.2,,5.0
MLP_GELU_256_128_64_32,28.495752334594727,3.655639886856079,5.327134609222412,0.3426186144351959,3.8854377269744873,0.20278041064739227,0.13054771112499494,0.0037475950599100104,0.8969215512275696,0.014027988767720503,194.6,,5.0
MLP_Tanh_256_128_64_32,239.21365356445312,107.14395141601562,14.81007194519043,4.458181858062744,11.566340446472168,3.839639902114868,0.4516876766557492,0.16312019056451132,0.13950787782669066,0.363867686202354,174.8,4.0,1.0
